Common name;IUPAC name;EMCDDA classification;Date of formal notification;Country;;
N-desethyl Isotonitazene;N-ethyl-2-[2-[(4-isopropoxyphenyl)methyl]-5-nitro-benzimidazol-1-yl]ethanamine;Opioids;22/12/2023;Portugal;;
N-desethyl Etonitazene;2-[2-[(4-ethoxyphenyl)methyl]-5-nitro-benzimidazol-1-yl]-N-ethyl-ethanamine;Opioids;21/12/2023;Sweden;;
A-PBITMO;(Adamantan-1-yl)(3-pentyl-2-thioxo-2,3-dihydro-1H-benzo[d]imidazol-1-yl)methanone;Cannabinoids;18/12/2023;Germany;;
2C-T;2-[2,5-dimethoxy-4-(methylsulfanyl)phenyl]ethan-1-amine;Phenethylamines;14/12/2023;Austria;;
Metonitazepyne;2-(4-methoxybenzyl)-5-nitro-1-(2-(pyrrolidin-1-yl)ethyl)-1H-benzo[d]imidazole;Opioids;23/10/2023;Sweden;;
Hexahydrocannabihexol (HHCH);3-hexyl-6,6,9-trimethyl-6a,7,8,9,10,10a-hexahydrobenzo[c]chromen-1-ol;Cannabinoids;18/09/2023;Sweden;;
Tetrahydrocannabiphorol (THCP);3-heptyl-6a,7,8,10a-tetrahydro-6,6,9-trimethyl-6H-dibenzo[b,d]pyran-1-ol;Cannabinoids;13/09/2023;Belgium;;
Protonitazepyne;5-nitro-2-[(4-propoxyphenyl)methyl]-1-(2-pyrrolidin-1-ylethyl)benzimidazole;Opioids;31/07/2023;Slovenia;;
1T-LSD;N,N-diethyl-7-methyl-4-(thiophene-2-carbonyl)-4,6,6a,7,8,9-hexahydroindolo[4,3-fg]quinoline-9-carboxamide;Others;14/07/2023;Germany;;
NMDMSB;1-naphthyl 4-methyl-3-(dimethylsulfamoyl)-benzoate;Cannabinoids;03-07-2023;Hungary;;
3'-Me-PVP;1-(3-methylphenyl)-2-(pyrrolidin-1-yl)pentan-1-one;Cathinones;08-06-2023;Sweden;;
CUMYL-3TMS-PRINACA;N-(2-phenylpropan-2-yl)-1-(3-(trimethylsilyl)propyl)-1H-indazole-3-carboxamide;Cannabinoids;30/05/2023;Sweden;;
N-sec-butyl-pentedrone;2-[(butan-2-yl)amino]-1-phenylpentan-1-one;Cathinones;17/05/2023;France;;
MDMB-BINACA;methyl 2-(1-butyl-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate;Cannabinoids;11-05-2023;Sweden;;
4'-Chloro deschloroalprazolam;6-(4-chlorophenyl)-1-methyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine;Benzodiazepines;24/04/2023;Ireland;;
Tetrahydrocannabidiol (H4-CBD );2-(2-isopropyl-5-methylcyclohexyl)-5-pentylbenzene-1,3-diol;Cannabinoids;03-04-2023;Sweden;;
ADMB-3TMS-PRINACA;N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(3-(trimethylsilyl)propyl)-1H-indazole-3-carboxamide;Cannabinoids;31/03/2023;Germany;;
N-pyrrolidinyl-3,4-DMA;1-[2-(3,4-dimethoxyphenyl)-1-methylethyl]-pyrrolidine;Phenethylamines;23/03/2023;Ireland;;
N-cyclohexyl butylone;1-(1,3-benzodioxol-5-yl)-2-(cyclohexylamino)butan-1-one;Cathinones;14/03/2023;Spain;;
2â€™-Fluoro-2-fluoro-3-methylfentanyl;N-(1-(2-fluorophenethyl)-3-methylpiperidin-4-yl)-N-(2-fluorophenyl)propionamide;Opioids;03-03-2023;Germany;;
Ethyleneoxynitazene;2-{2-[(2,3-dihydro-1-benzofuran-5-yl)methyl]-5-nitro-1H-benzimidazol-1-yl}-N,N-diethylethan-1-amine;Opioids;24/02/2023;Estonia;;
Iso-3-MMC;1-(methylamino)-1-(3-methylphenyl)propan-2-one;Others;15/02/2023;Austria;;
Etomethazene;2-[(4-ethoxyphenyl)methyl]-N,N-diethyl-5-methyl-1H-benzimidazole-1-ethanamine;Opioids;19/01/2023;Sweden;;
2-Bromomescaline;2-(2-bromo-3,4,5-trimethoxyphenyl)ethanamine;Phenethylamines;12-01-2023;Austria;;
2,6-Dibromomescaline;2-(2,6-dibromo-3,4,5-trimethoxyphenyl)ethanamine;Phenethylamines;12-01-2023;Austria;;
Hexahydrocannabiphorol (HHC-P);3-Heptyl-6a,7,8,9,10,10a-hexahydro-6,6,9-trimethyl-6H-dibenzo[b,d]pyran-1-ol;Cannabinoids;06-01-2023;Slovenia;;